name,x,y
Day Max Temperature,2015/01/01,24.9
Day Max Temperature,2015/01/02,25.1
Day Max Temperature,2015/01/03,25
Day Max Temperature,2015/01/04,25.5
Day Max Temperature,2015/01/05,25.5
Day Max Temperature,2015/01/06,24.8
Day Max Temperature,2015/01/07,25.4
Day Max Temperature,2015/01/08,25.2
Day Max Temperature,2015/01/09,25.5
Day Max Temperature,2015/01/10,25.3
Day Max Temperature,2015/01/11,24.8
Day Max Temperature,2015/01/12,23.9
Day Max Temperature,2015/01/13,23.9
Day Max Temperature,2015/01/14,24.8
Day Max Temperature,2015/01/15,25.2
Day Max Temperature,2015/01/16,25.7
Day Max Temperature,2015/01/17,25.3
Day Max Temperature,2015/01/18,26.5
Day Max Temperature,2015/01/19,27
Day Max Temperature,2015/01/20,26.4
Day Max Temperature,2015/01/21,26.1
Day Max Temperature,2015/01/22,27.9
Day Max Temperature,2015/01/23,27.6
Day Max Temperature,2015/01/24,27.3
Day Max Temperature,2015/01/25,29.6
Day Max Temperature,2015/01/26,28.6
Day Max Temperature,2015/01/27,28.6
Day Max Temperature,2015/01/28,26.7
Day Max Temperature,2015/01/29,28.1
Day Max Temperature,2015/01/30,27.6
Day Max Temperature,2015/01/31,30.3
Day Max Temperature,2015/02/01,30.1
Day Max Temperature,2015/02/02,29.4
Day Max Temperature,2015/02/03,29.5
Day Max Temperature,2015/02/04,28.7
Day Max Temperature,2015/02/05,30.7
Day Max Temperature,2015/02/06,31.4
Day Max Temperature,2015/02/07,30.7
Day Max Temperature,2015/02/08,32.5
Day Max Temperature,2015/02/09,33.9
Day Max Temperature,2015/02/10,29.7
Day Max Temperature,2015/02/11,33.3
Day Max Temperature,2015/02/12,32.5
Day Max Temperature,2015/02/13,32.6
Day Max Temperature,2015/02/14,33.3
Day Max Temperature,2015/02/15,33.9
Day Max Temperature,2015/02/16,33.8
Day Max Temperature,2015/02/17,33.9
Day Max Temperature,2015/02/18,31.9
Day Max Temperature,2015/02/19,31.5
Day Max Temperature,2015/02/20,30.5
Day Max Temperature,2015/02/21,29.5
Day Max Temperature,2015/02/22,29.2
Day Max Temperature,2015/02/23,29.2
Day Max Temperature,2015/02/24,29.8
Day Max Temperature,2015/02/25,28.9
Day Max Temperature,2015/02/26,29.5
Day Max Temperature,2015/02/27,29.9
Day Max Temperature,2015/02/28,29.3
Day Max Temperature,2015/03/01,28.4
Day Max Temperature,2015/03/02,28.4
Day Max Temperature,2015/03/03,27.1
Day Max Temperature,2015/03/04,28.1
Day Max Temperature,2015/03/05,29.4
Day Max Temperature,2015/03/06,28.5
Day Min Temperature,2015/01/01,21.1
Day Min Temperature,2015/01/02,20
Day Min Temperature,2015/01/03,20.7
Day Min Temperature,2015/01/04,21
Day Min Temperature,2015/01/05,20.7
Day Min Temperature,2015/01/06,20.7
Day Min Temperature,2015/01/07,20
Day Min Temperature,2015/01/08,20.1
Day Min Temperature,2015/01/09,20.9
Day Min Temperature,2015/01/10,19.2
Day Min Temperature,2015/01/11,17.4
Day Min Temperature,2015/01/12,17
Day Min Temperature,2015/01/13,16.8
Day Min Temperature,2015/01/14,16.9
Day Min Temperature,2015/01/15,17.2
Day Min Temperature,2015/01/16,18.2
Day Min Temperature,2015/01/17,19.2
Day Min Temperature,2015/01/18,18.9
Day Min Temperature,2015/01/19,18.1
Day Min Temperature,2015/01/20,18.1
Day Min Temperature,2015/01/21,18
Day Min Temperature,2015/01/22,17.6
Day Min Temperature,2015/01/23,19.5
Day Min Temperature,2015/01/24,19.9
Day Min Temperature,2015/01/25,19.7
Day Min Temperature,2015/01/26,17.5
Day Min Temperature,2015/01/27,17.9
Day Min Temperature,2015/01/28,19
Day Min Temperature,2015/01/29,19.5
Day Min Temperature,2015/01/30,20.2
Day Min Temperature,2015/01/31,18.9
Day Min Temperature,2015/02/01,18.6
Day Min Temperature,2015/02/02,18.6
Day Min Temperature,2015/02/03,17.5
Day Min Temperature,2015/02/04,17.6
Day Min Temperature,2015/02/05,18.4
Day Min Temperature,2015/02/06,19.1
Day Min Temperature,2015/02/07,18.9
Day Min Temperature,2015/02/08,18.5
Day Min Temperature,2015/02/09,18.2
Day Min Temperature,2015/02/10,17.2
Day Min Temperature,2015/02/11,18.4
Day Min Temperature,2015/02/12,20.2
Day Min Temperature,2015/02/13,20.2
Day Min Temperature,2015/02/14,20.8
Day Min Temperature,2015/02/15,21.1
Day Min Temperature,2015/02/16,21
Day Min Temperature,2015/02/17,20.7
Day Min Temperature,2015/02/18,21
Day Min Temperature,2015/02/19,21.8
Day Min Temperature,2015/02/20,20.9
Day Min Temperature,2015/02/21,20.5
Day Min Temperature,2015/02/22,20.1
Day Min Temperature,2015/02/23,20.4
Day Min Temperature,2015/02/24,20
Day Min Temperature,2015/02/25,19.8
Day Min Temperature,2015/02/26,21.1
Day Min Temperature,2015/02/27,22.5
Day Min Temperature,2015/02/28,23.4
Day Min Temperature,2015/03/01,22.8
Day Min Temperature,2015/03/02,22.9
Day Min Temperature,2015/03/03,22
Day Min Temperature,2015/03/04,21.8
Day Min Temperature,2015/03/05,22.3
Day Min Temperature,2015/03/06,23.4
